tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
findbugs,1,148,1209,16,0.0067114093959731,0.8806404657933042,0.8806404657933042,0.0120481927710843,redpen
findbugs,0,0,0,0,0.0,0.0,0.0,0.0,remoting
findbugs,4,182,1262,107,0.021505376344086,0.8141479099678457,0.8141479099678457,0.0269360269360269,requestor
findbugs,6,150,692,18,0.0384615384615384,0.8060046189376443,0.8060046189376443,0.0666666666666666,rest-assured
findbugs,32,1183,11087,208,0.0263374485596707,0.8888089528377299,0.8888089528377299,0.0439862542955326,riak-java-client
findbugs,0,8,110,0,0.0,0.9322033898305084,0.9322033898305084,0.0,rosette-common-java-api
findbugs,1,38,340,24,0.0256410256410256,0.8461538461538461,0.8461538461538461,0.03125,rtree
findbugs,0,104,667,0,0.0,0.8651102464332037,0.8651102464332037,0.0,rxjava-extras
findbugs,0,84,348,0,0.0,0.8055555555555556,0.8055555555555556,0.0,saltstack-netapi-client-java
findbugs,0,442,1639,1,0.0,0.787223823246878,0.787223823246878,0.0,scheduler
findbugs,2,166,950,15,0.0119047619047619,0.8402471315092674,0.8402471315092674,0.0216216216216216,selenese-runner-java
findbugs,13,1328,5045,136,0.0096942580164056,0.7755289788408464,0.7755289788408464,0.0174496644295302,service-proxy
findbugs,0,0,0,0,0.0,0.0,0.0,0.0,servicemix-bundles
findbugs,0,0,0,0,0.0,0.0,0.0,0.0,servicemix4-bundles
findbugs,0,399,1665,1,0.0,0.8062953995157385,0.8062953995157385,0.0,sirona
findbugs,1,11,210,10,0.0833333333333333,0.9094827586206896,0.9094827586206896,0.0869565217391304,sonar-javascript
findbugs,0,33,314,85,0.0,0.7268518518518519,0.7268518518518519,0.0,sonar-php
findbugs,13,17,198,61,0.4333333333333333,0.7301038062283737,0.7301038062283737,0.25,sonar-python
findbugs,2,58,776,14,0.0333333333333333,0.9152941176470588,0.9152941176470588,0.0526315789473684,spatial4j
findbugs,8,20,71,35,0.2857142857142857,0.5895522388059702,0.5895522388059702,0.2253521126760563,spring-cloud-config
findbugs,9,121,641,28,0.0692307692307692,0.8135168961201502,0.8135168961201502,0.1077844311377245,spring-cloud-netflix
findbugs,1,107,1428,11,0.0092592592592592,0.9237233354880414,0.9237233354880414,0.0166666666666666,sqlite-jdbc
findbugs,0,103,560,0,0.0,0.8446455505279035,0.8446455505279035,0.0,sslr
findbugs,4,211,1378,12,0.0186046511627906,0.8610591900311526,0.8610591900311526,0.0346320346320346,stapler
findbugs,0,9,59,1,0.0,0.855072463768116,0.855072463768116,0.0,storm-crawler
findbugs,9,80,508,182,0.1011235955056179,0.6636713735558408,0.6636713735558408,0.0642857142857143,stormpath-sdk-java
findbugs,0,65,0,0,0.0,0.0,0.0,0.0,stringtemplate4
findbugs,0,230,592,13,0.0,0.7089820359281437,0.7089820359281437,0.0,stripe-java
findbugs,0,444,18397,0,0.0,0.976434371848628,0.976434371848628,0.0,swagger-codegen
findbugs,2,61,243,29,0.0317460317460317,0.7313432835820896,0.7313432835820896,0.0425531914893617,swagger-maven-plugin
findbugs,0,143,1571,0,0.0,0.9165694282380396,0.9165694282380396,0.0,swrlapi
findbugs,120,210,2121,1307,0.3636363636363636,0.596327833954231,0.596327833954231,0.1365964712578258,tachyon
findbugs,0,33,349,15,0.0,0.8790931989924433,0.8790931989924433,0.0,takari-lifecycle
findbugs,0,150,1428,0,0.0,0.9049429657794676,0.9049429657794676,0.0,td-import-java
findbugs,0,313,328,5,0.0,0.5077399380804953,0.5077399380804953,0.0,testdroid-api
